product_name,product_url,product_type,clean_ingreds,price,descriere
Avène Antirougeurs Jour Redness Relief Moisturizing Protecting Cream (40ml),https://www.lookfantastic.com/avene-antirougeurs-jour-redness-relief-moisturizing-protecting-cream-40ml/11117577.html,Moisturiser,"['ethylhexyl methoxycinnamate', 'c12-15', 'carthamus tinctorius extract', 'cyclomethicone', 'glycerin', 'capric triglyceride', 'octocrylene', 'bisethylhexyloxyphenol methoxyphenyl triazine', 'arachidyl alcohol', 'glyceryl stearate', 'peg-100 stearate', 'arachidyl glucoside', 'behenyl alcohol', 'bht', 'ci 42090', 'caprylyl glycol', 'dextran sulfate', 'disodium edta', 'parfum', 'hesperidin methyl chalcone', 'hydroxyethyl acrylate/sodium acryloyldimethyl taurate', 'isohexadecane', 'magnesium silicate', 'ci 77019', 'polysorbate 60', 'ruscus aculeatus root extract', 'sorbic acid', 'sorbitan isostearate', 'titanium dioxide', 'xanthan gum']",£16.00,"Pielea profund hidratată cu antirougeurs, jour roșeață relieful hidratant protejând crema de avion, specialiști în îngrijirea blândă și sensibilă a pielii.Formula sa unică conține pigmenți verzi pentru a ajuta la difuzarea culorii pielii și pentru a stimula micro-circulația, reducând roșeața facială și oferind o senzație de răcire pentru confort de lungă durată.Cu SPF20, hidratantul protejează pielea de raze UV ​​dăunătoare și de stresuri de mediu pentru a preveni iritarea.Potrivit pentru pielea normală de a se usca, emulsia ușoară conține apa de izvor termică a mărcii pentru a lăsa pielea ușurată și calmă.E.N.Paraben Free."
Clinique Dramatically Different Moisturising Lotion+ 125ml with Pump,https://www.lookfantastic.com/clinique-dramatically-different-moisturizing-lotion-125ml-with-pump/11144716.html,Moisturiser,"['paraffinum liquidum', 'glycerin', 'petrolatum', 'stearic acid', 'glyceryl stearate', 'sesamium indicum seed oil', 'urea', 'lanolin alcohol', 'triethanolamine', 'hordeum vulgare extract', 'cucumis sativus extract', 'helianthus annuus seed oil', 'propylene glycol dicoco-caprylate', 'sodium hyaluronate', 'butylene glycol', 'pentylene glycol', 'trisodium edta', 'phenoxyethanol', 'ci 15985', 'ci 19140', 'ci 17200']",£30.00,"Hrăniți profund tenul cu loțiune hidratantă dramatic diferită, o formulă bogată și cremoasă, care scurge pielea în hidratare. Crema hidratantă se absoarbe rapid în ten, contribuind la susținerea barierei pielii.Glicerina și hialuronatul de sodiu încearcă să atragă și să blocheze umiditatea în piele, promovând un finisaj moale și suplu.Potrivită pentru utilizarea de zi cu zi, formula încurajează o strălucire cu aspect natural, ideală pentru tipurile de piele combinate și uscate și uscate."
First Aid Beauty Ultra Repair Cream (170g),https://www.lookfantastic.com/first-aid-beauty-ultra-repair-cream-170g/11054488.html,Moisturiser,"['colloidal oatmeal', 'stearic acid', 'glycerin', 'c12-15', 'capric triglyceride', 'glyceryl stearate', 'glyceryl stearate se', 'cetearyl alcohol', 'caprylyl glycol', 'phenoxyethanol', 'butyrospermum parkii', 'squalene', 'allantoin', 'sodium hydroxide', 'dimethicon', 'xanthan gum', 'disodium edta', 'chrysanthemum parthenium (feverfew) extract', 'camellia sinensis extract', 'butylene glycol', 'glycyrrhiza glabra root extract', 'eucalyptus globulus', 'ceramide 3']",£25.00,"Introducerea cremei de reparație Ultra Repair First Aid, o formulă premiată care hrănește intens pielea cu un efect calmant până la 24 de ore.Potrivită pentru tipurile de piele sensibile, predispuse la eczema, crema cu mai multe sarcini folosește o serie de activități hidratante pentru piele care se simte mai confortabilă după o singură utilizare.Alimentat de ovăz coloidal, ingredientul eroului lucrează pentru a consolida vizibil bariera de umiditate a pielii.Untul de shea și ceremida 3 își folosesc proprietățile de hrănire pentru a condiționa și netezi senzația de flăcări, reducând aspectul pielii uscate și dure.Proiectat pentru față și corp, hidratantul este potrivit și pentru copii și bebeluși."
Weleda Skin Food (75ml),https://www.lookfantastic.com/weleda-skin-food-75ml/10540680.html,Moisturiser,"['helianthus annuus seed oil', 'lanolin', 'prunus amygdalus dulcis', 'cera alba', 'alcohol', 'polyglyceryl-3 polyricinoleate', 'glycerin', 'limonene', 'viola tricolor extract', 'parfum', 'hydrolyzed cera alba', 'sobitan olivate', 'rosmarinus officinalis extract', 'chamomilla recutita flower oil', 'calendula officinalis extract', 'arganine', 'zinc sulfate', 'linalool', 'geraniol', 'citral', 'coumarin']",£12.95,"Alimentele de piele WELEDA tratează pielea uscată la un TLC mult necesar.Crema premiată prezintă o textură groasă și bogată, care oferă umiditate de lungă durată, acționând ca o barieră de protecție pe piele pentru a se apăra împotriva uscăciunii și a stresorii de mediu.Crema hidratantă hidratează intens și condiționează pielea, lăsând -o hrănită și radiantă.Potrivit pe tot parcursul anului, dar ideal pentru lunile rece, de iarnă, crema este parfumată cu o perfuzie răcoritoare de portocaliu dulce și lavandula."
Neutrogena Hydro Boost City Shield SPF Moisturiser,https://www.lookfantastic.com/neutrogena-hydro-boost-city-shield-spf-moisturiser/11433781.html,Moisturiser,"['glycerin', 'homosalate', 'caprylyl methicone', 'ethylhexyl salicylate', 'butyl methoxydibenzoylmethane', 'phenylbenzimidazole sulfonic acid', 'octocrylene', 'sodium acryloyldimethyltaurate/vp crosspolymer', 'silica', 'sodium hyaluronate', 'tocopheryl acetate', 'dicaprylyl carbonate', 'glyceryl stearate', 'steareth-21', 'sodium polyacrylate', 'disodium edta', 'sodium hydroxide', 'sodium ascorbyl phosphate', 'tocopherol', 'benzyl alcohol', 'chlorphenesin', 'phenoxyethanol', 'parfum', 'ci 16035', 'ci 42090']",£12.99,"Experimentați o hidratare răcoritoare cu hidrogena hidro boost City Shieldspf Hidratant, un hidratant fără ulei, fără apă, care reînnoiește intens pielea, în timp ce oferă spectru larg SPF 25 Protecție solară.Se topește fără efort pe piele, oferind acid hialuronic purificat pentru a atrage și a păstra umiditatea continuu pe parcursul zilei.Pielea este lăsată să se simtă suplă cu un sator de tinerețe.Oil gratuit.Non-comedogenic."
Egyptian Magic All Purpose Skin Cream 118ml/4oz,https://www.lookfantastic.com/egyptian-magic-all-purpose-skin-cream-118ml-4oz/10407207.html,Moisturiser,"['olea europaea fruit oil', 'cera alba', 'mel', 'bee pollen', 'royal jelly', 'propolis extract']",£30.00,"O formulă profesională care cuprinde șase dintre cele mai hidratante și reparative ingrediente, TheEgyptian Magic All Scop Skin Cream este conceput pentru a oferi o hrănire intensă atât pielii, cât și părului.De la îmblânzirea frizzului inestet și condiționarea părului deteriorat, până la ameliorarea buzelor înfiorătoare și netezind mâinile uscate, genunchii, tocurile și coatele, versatilul hidrator topic este un aspect esențial rapid care oferă o ușurare imediată calmantă.Nu este testat pe animale."
JASON Aloe Vera 98% Moisturising Gel Tube 113g,https://www.lookfantastic.com/jason-aloe-vera-98-moisturising-gel-tube-113g/10546528.html,Moisturiser,"['aloe barbadenis extract', 'glycerin', 'allantoin', 'polysorbate-20', 'panthenol', 'potassium carbomer', 'arganine', 'menthol', 'benzyl alcohol', 'potassium sorbate', 'sodium benzoate', 'chlorophyllin-copper complex', 'parfum']",£2.99,"Unul dintre cei mai buni hidratari ai naturii, acest gel hidratant, Jason Aloe Vera, 98%, este non-oil și penetrant, ceea ce îl face un fantastic hidratant zilnic pentru întregul corp.Jason Aloe Vera 98% Gel de hidratare vă permite să refaceți umiditatea după expunerea la vânt și soare, în timp ce vă calmează pielea cu allantoin și azulene.Direcții de utilizare: după curățare sau bărbierit, se aplică pe față sau o piele fragedă, uscată."
CeraVe Moisturising Cream 177ml,https://www.lookfantastic.com/cerave-moisturising-cream-177ml/11798693.html,Moisturiser,"['glycerin', 'cetearyl alcohol', 'capric triglyceride', 'behentrimonium methosulfate', 'cetearyl alcohol', 'cetyl alcohol', 'ceramide 3', 'ceramide 6 ii', 'ceramide 1', 'sodium hyaluronate', 'cholesterol', 'petrolatum', 'dimethicon', 'potassium phosphate', 'dipotassium phosphate', 'sodium lauroyl', 'disodium edta', 'phenoxyethanol', 'methylparaben', 'propylparaben', 'phytosphingosine', 'carbomer', 'xanthan gum']",£9.00,"Restaurați pielea uscată, incomodă, cu crema hidratantă, un hidratant bogat și hrănitor, care oferă o creștere a hidratației mult necesare pe pielea uscată și sensibilă.Blocarea umidității pentru hidratarea de toată ziua, utilizează tehnologia de livrare MveÂ®, care asigură eliberarea controlată a ingredientelor pentru hidratare de 24 de ore.Blând pe piele, lasă mâncărime, pete incomode simțindu -se moi și reumplute.Dezvoltat de dermatologi.Asociația Națională a Eczemei ​​Sigiliul de acceptare ¢."
Embryolisse Lait-Crème Concentré (75ml),https://www.lookfantastic.com/embryolisse-lait-creme-concentre-75ml/11118731.html,Moisturiser,"['paraffinum liquidum', 'stearic acid', 'glyceryl stearate', 'triethanolamine', 'cera alba', 'cetyl palmitate', 'butyrospermum parkii', 'steareth-10', 'polyacrylamide c13-14 isoparaffin', 'laureth-7', 'propylene glycol', 'hydrolyzed soy protein', 'aloe barbadenis extract', '1,2-hexanediol', 'caprylyl glycol', 'tropolone', 'parfum']",£20.00,"Embriolisse Lait-Crã¨me Concentr © este o loțiune hidratantă, primer și machiaj.Formula sa bogată conține acizi grași esențiali și vitamine pentru a reduce iritațiile, în special după bărbierit și pielea plumată pentru rezultate mai ferme.Loțiunea oferă un film din satin pentru a reduce disconfortul de uscăciune pentru un ten moale, radiant și este potrivit pentru utilizare ca mască de reparație, pentru curățarea pielii sau ca produs de îngrijire a bebelușilor.E.N."
La Roche-Posay Effaclar H Moisturiser 40ml,https://www.lookfantastic.com/la-roche-posay-effaclar-h-moisturiser-40ml/11091824.html,Moisturiser,"['squalene', 'glycerin', 'cyclohexasiloxane', 'propylene glycol', 'butyrospermum parkii', 'capric triglyceride', 'peg-100 stearate', 'glyceryl stearate', 'peg-20 stearate', 'bisabolol', 'tea-carbomer', 'ammonium polyacryloyldmethyl taurate', 'disodium edta', 'hydroxypalmitoyl sphinganine', 'tetrasodium edta', 'xanthan gum', 'cetyl alcohol', 'stearyl alcohol', 'myristyl alcohol', 't-butyl alcohol', 'citric acid', 'tocopherol', 'sodium benzoate', 'phenoxyethanol', 'methylparaben', 'propylparaben', 'parfum']",£9.99,"Compensarea calmantă Hiduriserefaclar H hidratează pielea grasă care se simte slabă și fragilă.De asemenea, oferă pielii lipidele de care îi lipsește pentru a reconstitui pelicula protectoare hidrolipidică.Conține ceramidă 5. Direcții de utilizare: Aplicați diminețile și serile după curățarea și uscarea prosopului pielea.Evitați conturul ochilor. Toleranță: Fără Parabensla Roche-Posay respectă Formulări stricte Standarde: 100% Hipoalergenic SkinCarenon-Comedogenichigh Concentrația de ingrediente selectate cu ingrediente cu arc termic cu arcuri termice și parfumate pe pielea sensibilă cu pielea sensibilă"
